Token	Gold annotation	Candidates	Prediction	Gold ann in candidates?	Correct?	sent id	sent date
United States	Q30	Q1968496 Q4005656 Q1269370 Q1545509 Q3965121 Q185989 Q30 Q48525 Q16959097	Q30	True	True	# hipe2022:document_id = sn83026170-1820-09-09-a-i0004	# hipe2022:date = 1820-09-09	B-loc
ROB . MOORE	NIL	NIL	NIL	True	True	# hipe2022:document_id = sn83026170-1820-09-09-a-i0004	# hipe2022:date = 1820-09-09	B-pers
NEWECHOTA	Q7007061	NIL	NIL	False	False	# hipe2022:document_id = sn83020874-1830-02-03-a-i0003	# hipe2022:date = 1830-02-03	B-loc
FEBRUARY 3,1880	NIL	NIL	NIL	True	True	# hipe2022:document_id = sn83020874-1830-02-03-a-i0003	# hipe2022:date = 1830-02-03	B-time
New York	Q60	Q769668 Q457275 Q7012955 Q64351964 Q20926350 Q1246630 Q1507987 Q7992349 Q2720168 Q11790885 Q12270765 Q20874688 Q11299 Q3875476 Q1251262 Q16956354 Q16978999 Q903253 Q17021430 Q48800189 Q3451110 Q22654 Q530355 Q39073080 Q2051696 Q19894720 Q1365153 Q2604045 Q16623588 Q54451 Q5239300 Q21123 Q65090331 Q47005414 Q29095183 Q60 Q7668516 Q7012986 Q1259585 Q7012934 Q7012990 Q1384	Q60	True	True	# hipe2022:document_id = sn83020874-1830-02-03-a-i0003	# hipe2022:date = 1830-02-03	B-loc
Philadelphia	Q1345	Q7182605 Q138280 Q689874 Q2085762 Q7182609 Q935334 Q3471231 Q15962428 Q426337 Q7182598 Q2490406 Q496900 Q204057 Q512128 Q5406013 Q2288745 Q1345 Q659181 Q224214 Q7182599	Q1345	True	True	# hipe2022:document_id = sn83020874-1830-02-03-a-i0003	# hipe2022:date = 1830-02-03	B-loc
New Haven	NIL	Q748020 Q1893816 Q3473062 Q2835695 Q10748543 Q2513216 Q11124577 Q6119589 Q964958 Q54234 Q2672381 Q7008477 Q8004327 Q49145 Q3708222 Q2598370	Q49145	False	False	# hipe2022:document_id = sn83020874-1830-02-03-a-i0003	# hipe2022:date = 1830-02-03	B-loc
Hartford	NIL	Q2222873 Q5674387 Q5674391 Q1587168 Q14686645 Q5674385 Q14709910 Q16870537 Q79238 Q33486 Q2650963 Q1920650 Q612406 Q1587114 Q5674404 Q2211873 Q1897716 Q80181 Q54236 Q3450349 Q1569368 Q2731278 Q5674558 Q1022761	Q33486	False	False	# hipe2022:document_id = sn83020874-1830-02-03-a-i0003	# hipe2022:date = 1830-02-03	B-loc
New York memorial	NIL	NIL	NIL	True	True	# hipe2022:document_id = sn83020874-1830-02-03-a-i0003	# hipe2022:date = 1830-02-03	B-loc
Committee on Indian Adairs	Q7891269	NIL	NIL	False	False	# hipe2022:document_id = sn83020874-1830-02-03-a-i0003	# hipe2022:date = 1830-02-03	B-org
Washington	Q61	Q56149 Q2555815 Q7971603 Q496486 Q761885 Q3470551 Q495979 Q506907 Q502929 Q1879629 Q7866745 Q486486 Q25301 Q2416989 Q777403 Q540250 Q386189 Q505380 Q2914511 Q1088831 Q989456 Q501157 Q594697 Q7971619 Q495037 Q6808754 Q2349496 Q1026008 Q482386 Q27240 Q23 Q511164 Q304671 Q3566499 Q1373453 Q7875308 Q7971604 Q54258 Q568305 Q61 Q486040 Q489571 Q939412 Q1999182 Q7971644 Q3566503 Q2705899 Q79281 Q1013498 Q2029442 Q489486 Q501559 Q2446223 Q507256 Q510915 Q2184036 Q467194 Q3178632 Q7971616 Q1018557 Q773030 Q466835 Q485401 Q7971602 Q575163 Q7971606 Q61148 Q2431532 Q373886 Q312487 Q1967325 Q156444 Q166186 Q7971605 Q484538 Q319871 Q263418 Q1223 Q1018448 Q85847988 Q643274 Q498286 Q507587 Q497200 Q7972144 Q485408 Q484643 Q25915599 Q3448011 Q7971610	Q61	True	True	# hipe2022:document_id = sn83020874-1830-03-03-a-i0004	# hipe2022:date = 1830-03-03	B-loc
January 25 , 1830	NIL	NIL	NIL	True	True	# hipe2022:document_id = sn83020874-1830-03-03-a-i0004	# hipe2022:date = 1830-03-03	B-time
New - York	Q60	NIL	NIL	False	False	# hipe2022:document_id = sn83020874-1830-03-03-a-i0004	# hipe2022:date = 1830-03-03	B-loc
HENRY R . STORRS	NIL	NIL	NIL	True	True	# hipe2022:document_id = sn83020874-1830-03-03-a-i0004	# hipe2022:date = 1830-03-03	B-pers
Chariest - n Mercury	Q5084157	NIL	NIL	False	False	# hipe2022:document_id = sn84020750-1840-02-08-a-i0002	# hipe2022:date = 1840-02-08	B-prod
Messrs . Clay	NIL	NIL	NIL	True	True	# hipe2022:document_id = sn84020750-1840-02-08-a-i0002	# hipe2022:date = 1840-02-08	B-pers
Walk ¬ er	NIL	NIL	NIL	True	True	# hipe2022:document_id = sn84020750-1840-02-08-a-i0002	# hipe2022:date = 1840-02-08	B-pers
Clay	NIL	Q751424 Q5129825 Q111831 Q170449 Q491966 Q109631 Q376120 Q684627 Q42302 Q5129810 Q3622423 Q111291 Q1627382 Q319630 Q2745112 Q79472 Q22907296 Q369360 Q489273 Q5129809 Q1815659 Q5129811 Q13431137 Q847673 Q61330 Q48422 Q156580 Q706363 Q2464425 Q17121537 Q502516 Q156570 Q1524109 Q488853 Q484474 Q110417 Q499542 Q494818 Q5006706 Q5129821 Q156488 Q490740 NIL	Q42302	True	False	# hipe2022:document_id = sn84020750-1840-02-08-a-i0002	# hipe2022:date = 1840-02-08	B-pers
Otmndagiia ( N . A . ) Standard	Q7757854	NIL	NIL	False	False	# hipe2022:document_id = sn84020750-1840-07-04-a-i0001	# hipe2022:date = 1840-07-04	B-prod
Mr . poinsett	Q723956	NIL	NIL	False	False	# hipe2022:document_id = sn84020750-1840-07-04-a-i0001	# hipe2022:date = 1840-07-04	B-pers
Gen . Harrison	Q11869	NIL	NIL	False	False	# hipe2022:document_id = sn84020750-1840-07-04-a-i0001	# hipe2022:date = 1840-07-04	B-pers
Gen . Harrison	Q11869	NIL	NIL	False	False	# hipe2022:document_id = sn84020750-1840-07-04-a-i0001	# hipe2022:date = 1840-07-04	B-pers
Gen . Ilarrisou	Q11869	NIL	NIL	False	False	# hipe2022:document_id = sn84020750-1840-07-04-a-i0001	# hipe2022:date = 1840-07-04	B-pers
Louisville Legion	NIL	Q4641434 NIL	Q4641434	True	False	# hipe2022:document_id = sn84020750-1840-07-04-a-i0001	# hipe2022:date = 1840-07-04	B-org
Gen . Harrison	Q11869	NIL	NIL	False	False	# hipe2022:document_id = sn84020750-1840-07-04-a-i0001	# hipe2022:date = 1840-07-04	B-pers
Gen . Harrison	Q11869	NIL	NIL	False	False	# hipe2022:document_id = sn84020750-1840-07-04-a-i0001	# hipe2022:date = 1840-07-04	B-pers
Western State Journal	Q7663027	NIL	NIL	False	False	# hipe2022:document_id = sn84020750-1840-07-04-a-i0001	# hipe2022:date = 1840-07-04	B-prod
Gen.Harrison	Q11869	NIL	NIL	False	False	# hipe2022:document_id = sn84020750-1840-07-04-a-i0001	# hipe2022:date = 1840-07-04	B-pers
Mr . Poinsett	Q723956	NIL	NIL	False	False	# hipe2022:document_id = sn84020750-1840-07-04-a-i0001	# hipe2022:date = 1840-07-04	B-pers
Mr . Yan ! Buren	Q11820	NIL	NIL	False	False	# hipe2022:document_id = sn84020750-1840-07-04-a-i0001	# hipe2022:date = 1840-07-04	B-pers
the Pennsylvanian	NIL	Q654593	Q654593	False	False	# hipe2022:document_id = sn84020750-1840-07-18-a-i0001	# hipe2022:date = 1840-07-18	B-prod
Harrisburg	Q25280	Q2028024 Q2266776 Q2541735 Q79652 Q2498612 Q3888046 Q3710649 Q956750 Q5665326 Q5665185 Q576252 Q25280 Q5665195 Q5665196 Q5665189 Q4180430 Q3458906	Q25280	True	True	# hipe2022:document_id = sn84020750-1840-07-18-a-i0001	# hipe2022:date = 1840-07-18	B-loc
June 26 , 1S40	NIL	NIL	NIL	True	True	# hipe2022:document_id = sn84020750-1840-07-18-a-i0001	# hipe2022:date = 1840-07-18	B-time
Philadelphia	Q1345	Q7182605 Q138280 Q689874 Q2085762 Q7182609 Q935334 Q3471231 Q15962428 Q426337 Q7182598 Q2490406 Q496900 Q204057 Q512128 Q5406013 Q2288745 Q1345 Q659181 Q224214 Q7182599	Q1345	True	True	# hipe2022:document_id = sn84020750-1840-07-18-a-i0001	# hipe2022:date = 1840-07-18	B-loc
Pennsylvania	Q1400	Q2475732 Q7394194 Q7163634 Q1400 Q1777290 Q49117 Q1390318	Q1400	True	True	# hipe2022:document_id = sn84020750-1840-07-18-a-i0001	# hipe2022:date = 1840-07-18	B-loc
Penn ¬ sylvania	Q1400	NIL	NIL	False	False	# hipe2022:document_id = sn84020750-1840-07-18-a-i0001	# hipe2022:date = 1840-07-18	B-loc
Pennsylvania	Q1400	Q2475732 Q7394194 Q7163634 Q1400 Q1777290 Q49117 Q1390318	Q1400	True	True	# hipe2022:document_id = sn84020750-1840-07-18-a-i0001	# hipe2022:date = 1840-07-18	B-loc
Pensylvania	Q1400	Q1400	Q1400	True	True	# hipe2022:document_id = sn84020750-1840-07-18-a-i0001	# hipe2022:date = 1840-07-18	B-loc
Pencj	Q1400	NIL	NIL	False	False	# hipe2022:document_id = sn84020750-1840-07-18-a-i0001	# hipe2022:date = 1840-07-18	B-loc
Pennsylvania	Q1400	Q2475732 Q7394194 Q7163634 Q1400 Q1777290 Q49117 Q1390318	Q1400	True	True	# hipe2022:document_id = sn84020750-1840-07-18-a-i0001	# hipe2022:date = 1840-07-18	B-loc
Pensylvania	Q1400	Q1400	Q1400	True	True	# hipe2022:document_id = sn84020750-1840-07-18-a-i0001	# hipe2022:date = 1840-07-18	B-loc
democratic	Q7163696	Q7163696 NIL	Q7163696	True	True	# hipe2022:document_id = sn84020750-1840-07-18-a-i0001	# hipe2022:date = 1840-07-18	B-org
Penn	Q1400	NIL	NIL	False	False	# hipe2022:document_id = sn84020750-1840-07-18-a-i0001	# hipe2022:date = 1840-07-18	B-loc
democratic	Q7163696	Q7163696 NIL	Q7163696	True	True	# hipe2022:document_id = sn84020750-1840-07-18-a-i0001	# hipe2022:date = 1840-07-18	B-org
DAVID	NIL	NIL	NIL	True	True	# hipe2022:document_id = sn84020750-1840-07-18-a-i0001	# hipe2022:date = 1840-07-18	B-pers
Elizabeth Cita ’ Co . , A ' a .	Q3688168	NIL	NIL	False	False	# hipe2022:document_id = sn84020750-1840-08-15-a-i0001	# hipe2022:date = 1840-08-15	B-loc
31n . Van Buren	Q11820	NIL	NIL	False	False	# hipe2022:document_id = sn84020750-1840-08-15-a-i0001	# hipe2022:date = 1840-08-15	B-pers
Elisabeth City County , Ea	Q3688168	NIL	NIL	False	False	# hipe2022:document_id = sn84020750-1840-08-15-a-i0001	# hipe2022:date = 1840-08-15	B-loc
June 12 , 1840	NIL	NIL	NIL	True	True	# hipe2022:document_id = sn84020750-1840-08-15-a-i0001	# hipe2022:date = 1840-08-15	B-time
District of Columbia	Q61	Q5283438 Q60768213 Q61 Q5535257	Q61	True	True	# hipe2022:document_id = sn84020750-1840-08-15-a-i0001	# hipe2022:date = 1840-08-15	B-loc
NIr Poinsett	Q723956	NIL	NIL	False	False	# hipe2022:document_id = sn84020750-1840-08-15-a-i0001	# hipe2022:date = 1840-08-15	B-pers
Nlr Harrison	Q11869	NIL	NIL	False	False	# hipe2022:document_id = sn84020750-1840-08-15-a-i0001	# hipe2022:date = 1840-08-15	B-pers
South	Q81931	Q667 Q60284880 Q910981 Q7565338 Q7565341 Q7565340 Q23718 Q207989 Q81931 Q2304261 Q721983 Q710222 Q936704 Q3492216 Q7358655 Q65046440 Q1583349 Q1419190 Q138671 Q4254113 Q54453 Q7565339 Q204796 Q13572981 Q49042 Q7565337 Q857122 Q7329152 Q1684191	Q81931	True	True	# hipe2022:document_id = sn84020750-1840-08-15-a-i0001	# hipe2022:date = 1840-08-15	B-loc
JOHN I ? . CARY	NIL	NIL	NIL	True	True	# hipe2022:document_id = sn84020750-1840-08-15-a-i0001	# hipe2022:date = 1840-08-15	B-pers
J . A . CARY	NIL	NIL	NIL	True	True	# hipe2022:document_id = sn84020750-1840-08-15-a-i0001	# hipe2022:date = 1840-08-15	B-pers
It ' asliington	Q61	NIL	NIL	False	False	# hipe2022:document_id = sn84020750-1840-08-15-a-i0001	# hipe2022:date = 1840-08-15	B-loc
James river	Q422487	Q18638796 Q1218597 Q422487 Q6142140 Q933598 Q6142142 Q57445130 Q1542610 Q6142137	Q422487	True	True	# hipe2022:document_id = sn85042404-1880-01-27-a-i0004	# hipe2022:date = 1880-01-27	B-loc
Peter Auberton	NIL	NIL	NIL	True	True	# hipe2022:document_id = sn85042404-1880-01-27-a-i0004	# hipe2022:date = 1880-01-27	B-pers
Mr . Auberton	NIL	NIL	NIL	True	True	# hipe2022:document_id = sn85042404-1880-01-27-a-i0004	# hipe2022:date = 1880-01-27	B-pers
Mr . Auberton	NIL	NIL	NIL	True	True	# hipe2022:document_id = sn85042404-1880-01-27-a-i0004	# hipe2022:date = 1880-01-27	B-pers
Stutsman county	Q511498	Q511498 NIL	Q511498	True	True	# hipe2022:document_id = sn85042404-1880-01-27-a-i0004	# hipe2022:date = 1880-01-27	B-loc
Steve Venard	NIL	NIL	NIL	True	True	# hipe2022:document_id = sn85042404-1880-03-09-a-i0004	# hipe2022:date = 1880-03-09	B-pers
in 1866	NIL	NIL	NIL	True	True	# hipe2022:document_id = sn85042404-1880-03-09-a-i0004	# hipe2022:date = 1880-03-09	B-time
Nevada , Col .	NIL	NIL	NIL	True	True	# hipe2022:document_id = sn85042404-1880-03-09-a-i0004	# hipe2022:date = 1880-03-09	B-loc
Yenard	NIL	NIL	NIL	True	True	# hipe2022:document_id = sn85042404-1880-03-09-a-i0004	# hipe2022:date = 1880-03-09	B-pers
Yenard	NIL	NIL	NIL	True	True	# hipe2022:document_id = sn85042404-1880-03-09-a-i0004	# hipe2022:date = 1880-03-09	B-pers
Yenard	NIL	NIL	NIL	True	True	# hipe2022:document_id = sn85042404-1880-03-09-a-i0004	# hipe2022:date = 1880-03-09	B-pers
Venard	NIL	NIL	NIL	True	True	# hipe2022:document_id = sn85042404-1880-03-09-a-i0004	# hipe2022:date = 1880-03-09	B-pers
Venard	NIL	NIL	NIL	True	True	# hipe2022:document_id = sn85042404-1880-03-09-a-i0004	# hipe2022:date = 1880-03-09	B-pers
Yenard	NIL	NIL	NIL	True	True	# hipe2022:document_id = sn85042404-1880-03-09-a-i0004	# hipe2022:date = 1880-03-09	B-pers
Ve ¬ nard	NIL	NIL	NIL	True	True	# hipe2022:document_id = sn85042404-1880-03-09-a-i0004	# hipe2022:date = 1880-03-09	B-pers
Mr . Lees	NIL	NIL	NIL	True	True	# hipe2022:document_id = sn85042404-1880-05-04-a-i0002	# hipe2022:date = 1880-05-04	B-pers
Mr . McKechnie	NIL	NIL	NIL	True	True	# hipe2022:document_id = sn85042404-1880-05-04-a-i0002	# hipe2022:date = 1880-05-04	B-pers
Mrs . Shoe ¬ maker	NIL	NIL	NIL	True	True	# hipe2022:document_id = sn85042404-1880-05-04-a-i0002	# hipe2022:date = 1880-05-04	B-pers
Mrs . Shoemaker	NIL	NIL	NIL	True	True	# hipe2022:document_id = sn85042404-1880-05-04-a-i0002	# hipe2022:date = 1880-05-04	B-pers
Stur ¬ geon Lendcr	NIL	NIL	NIL	True	True	# hipe2022:document_id = sn88068010-1890-02-13-a-i0003	# hipe2022:date = 1890-02-13	B-prod
Miss Nettie White	NIL	NIL	NIL	True	True	# hipe2022:document_id = sn88068010-1890-02-13-a-i0003	# hipe2022:date = 1890-02-13	B-pers
Robt . L . Winn	NIL	NIL	NIL	True	True	# hipe2022:document_id = sn88068010-1890-02-13-a-i0003	# hipe2022:date = 1890-02-13	B-pers
Miss White.at	NIL	NIL	NIL	True	True	# hipe2022:document_id = sn88068010-1890-02-13-a-i0003	# hipe2022:date = 1890-02-13	B-pers
Chas	NIL	Q4507537 Q30670007 Q886561 Q5011047	Q886561	False	False	# hipe2022:document_id = sn88068010-1890-02-13-a-i0003	# hipe2022:date = 1890-02-13	B-pers
Robt . Winn	NIL	NIL	NIL	True	True	# hipe2022:document_id = sn88068010-1890-02-13-a-i0003	# hipe2022:date = 1890-02-13	B-pers
Robt .	NIL	NIL	NIL	True	True	# hipe2022:document_id = sn88068010-1890-02-13-a-i0003	# hipe2022:date = 1890-02-13	B-pers
Robt .	NIL	NIL	NIL	True	True	# hipe2022:document_id = sn88068010-1890-02-13-a-i0003	# hipe2022:date = 1890-02-13	B-pers
Texas	Q1439	Q1439 Q6128197 Q3816828 Q3519335 Q7707417 Q7707745 Q7707414 Q7707415 Q477870 Q170588 Q7768585 Q7708302 Q7707412 Q3985371 Q916484 Q485017 Q864687 Q2407588 Q1887280 Q7707419 Q7707411 Q17118735 Q144229	Q1439	True	True	# hipe2022:document_id = sn88068010-1890-02-13-a-i0003	# hipe2022:date = 1890-02-13	B-loc
Charles	NIL	Q4045548 Q5076849 Q332105 Q500562 Q526128 Q2834838 Q5077209 Q122553 Q7488778 Q469603 Q2043886 Q20689208 Q584412 Q2958359 Q501319 Q5074700 Q675093 Q71231 Q5074708 Q3044 Q378217 Q61694567 Q566092 Q81506 Q794927 Q16750975 Q48742128	Q122553	False	False	# hipe2022:document_id = sn88068010-1890-02-13-a-i0003	# hipe2022:date = 1890-02-13	B-pers
Charles	NIL	Q4045548 Q5076849 Q332105 Q500562 Q526128 Q2834838 Q5077209 Q122553 Q7488778 Q469603 Q2043886 Q20689208 Q584412 Q2958359 Q501319 Q5074700 Q675093 Q71231 Q5074708 Q3044 Q378217 Q61694567 Q566092 Q81506 Q794927 Q16750975 Q48742128	Q122553	False	False	# hipe2022:document_id = sn88068010-1890-02-13-a-i0003	# hipe2022:date = 1890-02-13	B-pers
firm of Geo . D . Barnard iSr Co .	NIL	NIL	NIL	True	True	# hipe2022:document_id = sn88068010-1890-04-17-a-i0003	# hipe2022:date = 1890-04-17	B-org
St . Louis	Q38022	NIL	NIL	False	False	# hipe2022:document_id = sn88068010-1890-04-17-a-i0003	# hipe2022:date = 1890-04-17	B-loc
Mr . Keene	NIL	NIL	NIL	True	True	# hipe2022:document_id = sn88068010-1890-04-17-a-i0003	# hipe2022:date = 1890-04-17	B-pers
Messrs . Barnard & Co	NIL	NIL	NIL	True	True	# hipe2022:document_id = sn88068010-1890-04-17-a-i0003	# hipe2022:date = 1890-04-17	B-org
Montgomery county	Q378527	Q502345 Q1946326 Q61521 Q487572 Q485969 Q488492 Q269164 Q490129 Q493125 Q374547 Q488659 Q378527 Q26756 Q490859 Q485600 Q506697 Q502784 Q512686 Q495120	Q488659	True	False	# hipe2022:document_id = sn88068010-1890-04-17-a-i0003	# hipe2022:date = 1890-04-17	B-loc
St . Charles county	Q489873	NIL	NIL	False	False	# hipe2022:document_id = sn88068010-1890-04-17-a-i0003	# hipe2022:date = 1890-04-17	B-loc
Lincoln county	Q484582	Q494947 Q496096 Q1825792 Q490344 Q312586 Q507230 Q487243 Q484150 Q486994 Q490322 Q495899 Q484527 Q484335 Q490446 Q376876 Q507757 Q484582 Q498066 Q485896 Q6550599 Q17153343 Q302852 Q495209 Q495151 Q491519 Q61294	Q484335	True	False	# hipe2022:document_id = sn88068010-1890-04-17-a-i0003	# hipe2022:date = 1890-04-17	B-loc
museum of the Berlin post - cfllce	Q1271054	NIL	NIL	False	False	# hipe2022:document_id = sn88068010-1890-09-25-a-i0006	# hipe2022:date = 1890-09-25	B-org
European	Q46	Q7085454 Q11205140 NIL	Q7085454	False	False	# hipe2022:document_id = sn88068010-1890-09-25-a-i0006	# hipe2022:date = 1890-09-25	B-loc
Americans	Q828	Q52213432 Q846570 Q15133865 NIL	Q846570	False	False	# hipe2022:document_id = sn88068010-1890-09-25-a-i0006	# hipe2022:date = 1890-09-25	B-loc
Asia	Q48	Q19872663 Q107746 Q210718 Q6417874 Q726862 Q605744 Q55604303 Q48988706 Q764186 Q4806335 Q92932680 Q20036690 Q4806331 Q726891 Q21999972 Q4654942 Q48 Q177837	Q48	True	True	# hipe2022:document_id = sn88068010-1890-09-25-a-i0006	# hipe2022:date = 1890-09-25	B-loc
Africa	Q15	Q1234394 Q4689465 Q1070642 Q15 Q4689535 Q4689533 Q4689536 Q4689532 Q510586 Q4689537 Q383855 Q30325172 Q383842 Q181238	Q15	True	True	# hipe2022:document_id = sn88068010-1890-09-25-a-i0006	# hipe2022:date = 1890-09-25	B-loc
Australia	Q3960	Q16746529 Q1057457 Q408 Q4823545 Q2129654 Q4607496 Q275180 Q3629996 Q2872203 Q387053 Q4201697 Q16835533 Q3960 Q4823544 Q4823546 Q4823543 Q4823541 Q1134461 Q4823540 Q12887638	Q408	True	False	# hipe2022:document_id = sn88068010-1890-09-25-a-i0006	# hipe2022:date = 1890-09-25	B-loc
M . Pliillippe de Ferrari	Q44105	NIL	NIL	False	False	# hipe2022:document_id = sn88068010-1890-09-25-a-i0006	# hipe2022:date = 1890-09-25	B-pers
Paris	Q90	Q1577076 Q21780569 Q2220917 Q7137172 Q20709367 Q15119639 Q7137175 Q7137164 Q691491 Q930765 Q576584 Q366081 Q20813664 Q3382754 Q7137187 Q1931701 Q1341876 Q7131746 Q7137192 Q2300075 Q30621726 Q7137186 Q1818121 Q28337101 Q7137194 Q1751748 Q1018504 Q3687815 Q1158980 Q10981622 Q984459 Q22317569 Q65921527 Q1124162 Q90 Q7137363 Q960025 Q2219239 Q20812805 Q3181341 Q631707 Q3305306 Q1451948 Q7137190 Q162121 Q538772 Q67744612 Q7137161 Q7137184 Q23826199 Q7137197 Q60751943 Q483020 Q79917 Q20712325 Q830149 Q167646 Q7137193 Q934294 Q104197 Q2052318 Q520621 Q55612277 Q3365241 Q923849 Q7137185 Q151298 Q1132962	Q90	True	True	# hipe2022:document_id = sn88068010-1890-09-25-a-i0006	# hipe2022:date = 1890-09-25	B-loc
England	Q21	Q21 Q1467810 Q47762 Q11755949 Q1087692 Q2251971 Q179876 Q79282 Q5377960 Q552608	Q21	True	True	# hipe2022:document_id = sn88068010-1890-11-06-a-i0002	# hipe2022:date = 1890-11-06	B-loc
Europe	Q46	Q185144 Q52847 Q7085454 Q6830710 Q579160 Q7691481 Q458 Q5412139 Q1163173 Q198697 Q5412030 Q3734794 Q46 Q766618 Q612228 Q165170	Q46	True	True	# hipe2022:document_id = sn88068010-1890-11-06-a-i0002	# hipe2022:date = 1890-11-06	B-loc
YUKON	Q6170492	Q6170492 Q3471041 Q3573173 Q2009 Q8060799 Q2073642 Q8060807 Q8060803 Q104437 Q822735	Q2009	True	False	# hipe2022:document_id = sn86063397-1900-03-20-a-i0004	# hipe2022:date = 1900-03-20	B-loc
Vice Consul Morrison	NIL	NIL	NIL	True	True	# hipe2022:document_id = sn86063397-1900-03-20-a-i0004	# hipe2022:date = 1900-03-20	B-pers
Dawson City	Q372324	Q372324	Q372324	True	True	# hipe2022:document_id = sn86063397-1900-03-20-a-i0004	# hipe2022:date = 1900-03-20	B-loc
Washington	Q61	Q56149 Q2555815 Q7971603 Q496486 Q761885 Q3470551 Q495979 Q506907 Q502929 Q1879629 Q7866745 Q486486 Q25301 Q2416989 Q777403 Q540250 Q386189 Q505380 Q2914511 Q1088831 Q989456 Q501157 Q594697 Q7971619 Q495037 Q6808754 Q2349496 Q1026008 Q482386 Q27240 Q23 Q511164 Q304671 Q3566499 Q1373453 Q7875308 Q7971604 Q54258 Q568305 Q61 Q486040 Q489571 Q939412 Q1999182 Q7971644 Q3566503 Q2705899 Q79281 Q1013498 Q2029442 Q489486 Q501559 Q2446223 Q507256 Q510915 Q2184036 Q467194 Q3178632 Q7971616 Q1018557 Q773030 Q466835 Q485401 Q7971602 Q575163 Q7971606 Q61148 Q2431532 Q373886 Q312487 Q1967325 Q156444 Q166186 Q7971605 Q484538 Q319871 Q263418 Q1223 Q1018448 Q85847988 Q643274 Q498286 Q507587 Q497200 Q7972144 Q485408 Q484643 Q25915599 Q3448011 Q7971610	Q61	True	True	# hipe2022:document_id = sn86063397-1900-03-20-a-i0004	# hipe2022:date = 1900-03-20	B-loc
America	Q30	Q463081 Q60751010 Q338285 Q97181621 Q17511620 Q1850907 Q4749632 Q1052042 Q4742713 Q4749635 Q85772276 Q23309806 Q23467020 Q4749633 Q2842802 Q4742708 Q4742711 Q104790923 Q22251882 Q482251 Q4742716 Q4742707 Q1112443 Q828 Q4742714 Q2420785 Q4742725 Q4745665 Q4655832 Q30 Q126852 Q4742728 Q4742712 Q4742719 Q16491652 Q4742863 Q4742710 Q4742619 Q4742724 Q18762246 Q2621772 Q2842807 Q34195 Q2400442 Q4742717 Q4742709 Q7131705 Q4033897 Q1247400 Q47499411 Q4742729 Q4064165 Q4742720 Q4742723 Q463110 Q6072379 Q463147 Q20894546 Q7872812 Q2842803 Q482262 Q2844820 Q548133 Q2844832 Q1777174 Q4742727 Q2127180 Q3055389 Q482249 Q4742722	Q30	True	True	# hipe2022:document_id = sn86063397-1900-03-20-a-i0004	# hipe2022:date = 1900-03-20	B-loc
1900 summer	NIL	NIL	NIL	True	True	# hipe2022:document_id = sn86063397-1900-05-08-a-i0004	# hipe2022:date = 1900-05-08	B-time
New York	Q60	Q769668 Q457275 Q7012955 Q64351964 Q20926350 Q1246630 Q1507987 Q7992349 Q2720168 Q11790885 Q12270765 Q20874688 Q11299 Q3875476 Q1251262 Q16956354 Q16978999 Q903253 Q17021430 Q48800189 Q3451110 Q22654 Q530355 Q39073080 Q2051696 Q19894720 Q1365153 Q2604045 Q16623588 Q54451 Q5239300 Q21123 Q65090331 Q47005414 Q29095183 Q60 Q7668516 Q7012986 Q1259585 Q7012934 Q7012990 Q1384	Q60	True	True	# hipe2022:document_id = sn86063397-1900-06-26-a-i0002	# hipe2022:date = 1900-06-26	B-loc
Chicago	Q1297	Q977061 Q2963283 Q492508 Q2451193 Q3100493 Q2963286 Q3281484 Q5095462 Q6406612 Q5095459 Q3889359 Q371938 Q1155989 Q1754965 Q2963284 Q656285 Q1071816 Q1297 Q14687961 Q5095452 Q2963288 Q2963285 Q2233885 Q16920511 Q3978530 Q25221871 Q131252 Q189889 Q5095458 Q3031994 Q1050470 Q3468546 Q20649503 Q643284	Q1297	True	True	# hipe2022:document_id = sn86063397-1900-06-26-a-i0002	# hipe2022:date = 1900-06-26	B-loc
Philadelphia	Q1345	Q7182605 Q138280 Q689874 Q2085762 Q7182609 Q935334 Q3471231 Q15962428 Q426337 Q7182598 Q2490406 Q496900 Q204057 Q512128 Q5406013 Q2288745 Q1345 Q659181 Q224214 Q7182599	Q1345	True	True	# hipe2022:document_id = sn86063397-1900-06-26-a-i0002	# hipe2022:date = 1900-06-26	B-loc
Colonel ' Dick	Q1066346	NIL	NIL	False	False	# hipe2022:document_id = sn86063397-1900-06-26-a-i0002	# hipe2022:date = 1900-06-26	B-pers
Ohio	Q1397	Q7080729 Q7080730 Q1397 Q927274 Q500663 Q2137506 Q1680311 Q7394147 Q506727 Q847676 Q944935 Q4915 Q7080727	Q1397	True	True	# hipe2022:document_id = sn86063397-1900-06-26-a-i0002	# hipe2022:date = 1900-06-26	B-loc
Chairman Ilanna	Q509441	NIL	NIL	False	False	# hipe2022:document_id = sn86063397-1900-06-26-a-i0002	# hipe2022:date = 1900-06-26	B-pers
Chi ¬ cago	Q1297	NIL	NIL	False	False	# hipe2022:document_id = sn86063397-1900-06-26-a-i0002	# hipe2022:date = 1900-06-26	B-loc
